areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2021-11-09,1054
E40000003,London,nhsRegion,2021-11-08,1052
E40000003,London,nhsRegion,2021-11-07,1034
E40000003,London,nhsRegion,2021-11-06,1035
E40000003,London,nhsRegion,2021-11-05,1039
E40000003,London,nhsRegion,2021-11-04,1020
E40000003,London,nhsRegion,2021-11-03,1050
E40000003,London,nhsRegion,2021-11-02,1094
E40000003,London,nhsRegion,2021-11-01,1104
E40000003,London,nhsRegion,2021-10-31,1067
E40000003,London,nhsRegion,2021-10-30,1032
E40000003,London,nhsRegion,2021-10-29,1047
E40000003,London,nhsRegion,2021-10-28,1063
E40000003,London,nhsRegion,2021-10-27,1051
E40000003,London,nhsRegion,2021-10-26,1046
E40000003,London,nhsRegion,2021-10-25,1044
E40000003,London,nhsRegion,2021-10-24,1003
E40000003,London,nhsRegion,2021-10-23,993
E40000003,London,nhsRegion,2021-10-22,969
E40000003,London,nhsRegion,2021-10-21,979
E40000003,London,nhsRegion,2021-10-20,959
E40000003,London,nhsRegion,2021-10-19,965
E40000003,London,nhsRegion,2021-10-18,918
E40000003,London,nhsRegion,2021-10-17,896
E40000003,London,nhsRegion,2021-10-16,882
E40000003,London,nhsRegion,2021-10-15,879
E40000003,London,nhsRegion,2021-10-14,864
E40000003,London,nhsRegion,2021-10-13,849
E40000003,London,nhsRegion,2021-10-12,853
E40000003,London,nhsRegion,2021-10-11,894
E40000003,London,nhsRegion,2021-10-10,878
E40000003,London,nhsRegion,2021-10-09,867
E40000003,London,nhsRegion,2021-10-08,885
E40000003,London,nhsRegion,2021-10-07,884
E40000003,London,nhsRegion,2021-10-06,904
E40000003,London,nhsRegion,2021-10-05,925
E40000003,London,nhsRegion,2021-10-04,934
E40000003,London,nhsRegion,2021-10-03,906
E40000003,London,nhsRegion,2021-10-02,894
E40000003,London,nhsRegion,2021-10-01,927
E40000003,London,nhsRegion,2021-09-30,948
E40000003,London,nhsRegion,2021-09-29,983
E40000003,London,nhsRegion,2021-09-28,1001
E40000003,London,nhsRegion,2021-09-27,999
E40000003,London,nhsRegion,2021-09-26,990
E40000003,London,nhsRegion,2021-09-25,984
E40000003,London,nhsRegion,2021-09-24,1000
E40000003,London,nhsRegion,2021-09-23,1013
E40000003,London,nhsRegion,2021-09-22,1056
E40000003,London,nhsRegion,2021-09-21,1077
E40000003,London,nhsRegion,2021-09-20,1122
E40000003,London,nhsRegion,2021-09-19,1134
E40000003,London,nhsRegion,2021-09-18,1124
E40000003,London,nhsRegion,2021-09-17,1153
