OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax
17970,NDA07,Hospital,Hospital,Independent Sector,Visible,TRUE,Walton Community Hospital - Virgin Care Services Ltd,,Rodney Road,,Walton-on-Thames,Surrey,KT12 3LD,51.37999725,-0.406042069,NDA,Virgin Care Services Ltd,01932 414205,,,01932 253674
17981,NDA18,Hospital,Hospital,Independent Sector,Visible,TRUE,Woking Community Hospital (Virgin Care),,Heathside Road,,Woking,Surrey,GU22 7HS,51.31513214,-0.556289494,NDA,Virgin Care Services Ltd,01483 715911,,,
18102,NLT02,Hospital,Hospital,NHS Sector,Visible,TRUE,North Somerset Community Hospital,North Somerset Community Hospital,Old Street,,Clevedon,Avon,BS21 6BS,51.43719482,-2.847192764,NLT,North Somerset Community Partnership Community Interest Company,01275 872212,,http://www.sirona-cic.org.uk,
18138,NMP01,Hospital,Hospital,Independent Sector,Visible,FALSE,Bridgewater Hospital,120 Princess Road,,,Manchester,Greater Manchester,M15 5AT,53.4597435,-2.245468855,NMP,Bridgewater Hospital (Manchester) Ltd,0161 2270000,,www.bridgewaterhospital.com,
18142,NMV01,Hospital,Hospital,Independent Sector,Visible,TRUE,Kneesworth House,Old North Road,Bassingbourn,,Royston,,SG8 5JP,52.07812119,-0.030604055,NMV,Partnerships In Care Ltd,01763 255 700,reception_kneesworthhouse@partnershipsincare.co.uk,www.partnershipsincare.co.uk,
18143,NMV02,Hospital,Hospital,Independent Sector,Visible,TRUE,Stockton Hall Hospital,Stockton Hall,The Village,Stockton On The Forest,York,North Yorkshire,YO32 9UN,53.99540329,-1.002552629,NMV,Partnerships In Care Ltd,01904 400 500,info@priorygroup.com,https://www.priorygroup.com/stockton-hall,
18289,NQ901,Hospital,Hospital,Independent Sector,Visible,FALSE,Lakeside Hospital,The Lane,Wyboston,,Bedford,Bedfordshire,MK44 3AS,52.19845963,-0.312031537,NQ9,Brookdale Healthcare Ltd (T/A Brookdale Care),,,,
18305,NQM01,Hospital,Hospital,Independent Sector,Visible,TRUE,Orthopaedics and Spine Specialist Hospital,1 Stirling Way,Bretton,,Peterborough,Cambridgeshire,PE3 8YA,52.60494232,-0.283021808,NQM,Orthopaedics and Spine Specialist Hospital,01733 333156,info@orthospine.co.uk,,01733 373050
18314,NR510,Hospital,Hospital,Independent Sector,Visible,TRUE,Lee Mill Hospital,,Beech Road,Ivybridge,Plymouth,Devon,PL21 9HL,50.3903656,-3.961736441,NR5,Livewell Southwest,01752 314800,,,01752 314804
18317,NR527,Hospital,Hospital,Independent Sector,Visible,TRUE,Mount Gould Hospital,,Mount Gould Road,,Plymouth,,PL4 7QD,50.37840271,-4.112740517,NR5,Livewell Southwest,01752 435502,,https://www.livewellsouthwest.co.uk/,
